"region";"boligtype";"kvartal";"statistikkvariabel";"07221: Prisindeks for brukte boliger, etter region, boligtype, kvartal og statistikkvariabel"
"001 Oslo med Bærum";"01 Eneboliger";"2019K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"01 Eneboliger";"2020K1";"Prisindeks for brukte boliger";130,7
"001 Oslo med Bærum";"01 Eneboliger";"2020K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"01 Eneboliger";"2020K2";"Prisindeks for brukte boliger";139,4
"001 Oslo med Bærum";"01 Eneboliger";"2020K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"01 Eneboliger";"2020K3";"Prisindeks for brukte boliger";136,1
"001 Oslo med Bærum";"01 Eneboliger";"2020K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"01 Eneboliger";"2020K4";"Prisindeks for brukte boliger";146,1
"001 Oslo med Bærum";"01 Eneboliger";"2020K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"01 Eneboliger";"2021K1";"Prisindeks for brukte boliger";148,2
"001 Oslo med Bærum";"01 Eneboliger";"2021K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"01 Eneboliger";"2021K2";"Prisindeks for brukte boliger";156,2
"001 Oslo med Bærum";"01 Eneboliger";"2021K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"01 Eneboliger";"2021K3";"Prisindeks for brukte boliger";153,1
"001 Oslo med Bærum";"01 Eneboliger";"2021K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"01 Eneboliger";"2021K4";"Prisindeks for brukte boliger";155,1
"001 Oslo med Bærum";"01 Eneboliger";"2021K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"01 Eneboliger";"2022K1";"Prisindeks for brukte boliger";156,2
"001 Oslo med Bærum";"01 Eneboliger";"2022K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"01 Eneboliger";"2022K2";"Prisindeks for brukte boliger";162,8
"001 Oslo med Bærum";"01 Eneboliger";"2022K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"01 Eneboliger";"2022K3";"Prisindeks for brukte boliger";157,6
"001 Oslo med Bærum";"01 Eneboliger";"2022K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"01 Eneboliger";"2022K4";"Prisindeks for brukte boliger";155,4
"001 Oslo med Bærum";"01 Eneboliger";"2022K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"01 Eneboliger";"2023K1";"Prisindeks for brukte boliger";154,2
"001 Oslo med Bærum";"01 Eneboliger";"2023K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"01 Eneboliger";"2023K2";"Prisindeks for brukte boliger";158,3
"001 Oslo med Bærum";"01 Eneboliger";"2023K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"01 Eneboliger";"2023K3";"Prisindeks for brukte boliger";151
"001 Oslo med Bærum";"01 Eneboliger";"2023K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"01 Eneboliger";"2023K4";"Prisindeks for brukte boliger";148,9
"001 Oslo med Bærum";"01 Eneboliger";"2023K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"01 Eneboliger";"2024K1";"Prisindeks for brukte boliger";151,7
"001 Oslo med Bærum";"01 Eneboliger";"2024K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"01 Eneboliger";"2024K2";"Prisindeks for brukte boliger";160
"001 Oslo med Bærum";"01 Eneboliger";"2024K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"01 Eneboliger";"2024K3";"Prisindeks for brukte boliger";159,4
"001 Oslo med Bærum";"01 Eneboliger";"2024K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"01 Eneboliger";"2024K4";"Prisindeks for brukte boliger";155,3
"001 Oslo med Bærum";"01 Eneboliger";"2024K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"01 Eneboliger";"2025K1";"Prisindeks for brukte boliger";165,9
"001 Oslo med Bærum";"01 Eneboliger";"2025K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"01 Eneboliger";"2025K2";"Prisindeks for brukte boliger";165,3
"001 Oslo med Bærum";"01 Eneboliger";"2025K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"01 Eneboliger";"2025K3";"Prisindeks for brukte boliger";161,6
"001 Oslo med Bærum";"01 Eneboliger";"2025K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1992K1";"Prisindeks for brukte boliger";15,2
"001 Oslo med Bærum";"02 Småhus";"1992K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1992K2";"Prisindeks for brukte boliger";15,2
"001 Oslo med Bærum";"02 Småhus";"1992K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1992K3";"Prisindeks for brukte boliger";15,5
"001 Oslo med Bærum";"02 Småhus";"1992K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1992K4";"Prisindeks for brukte boliger";13,9
"001 Oslo med Bærum";"02 Småhus";"1992K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1993K1";"Prisindeks for brukte boliger";13,6
"001 Oslo med Bærum";"02 Småhus";"1993K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1993K2";"Prisindeks for brukte boliger";14,7
"001 Oslo med Bærum";"02 Småhus";"1993K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1993K3";"Prisindeks for brukte boliger";15,4
"001 Oslo med Bærum";"02 Småhus";"1993K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1993K4";"Prisindeks for brukte boliger";16,8
"001 Oslo med Bærum";"02 Småhus";"1993K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1994K1";"Prisindeks for brukte boliger";17
"001 Oslo med Bærum";"02 Småhus";"1994K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1994K2";"Prisindeks for brukte boliger";18,8
"001 Oslo med Bærum";"02 Småhus";"1994K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1994K3";"Prisindeks for brukte boliger";19,4
"001 Oslo med Bærum";"02 Småhus";"1994K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1994K4";"Prisindeks for brukte boliger";19,7
"001 Oslo med Bærum";"02 Småhus";"1994K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1995K1";"Prisindeks for brukte boliger";18,7
"001 Oslo med Bærum";"02 Småhus";"1995K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1995K2";"Prisindeks for brukte boliger";19,2
"001 Oslo med Bærum";"02 Småhus";"1995K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1995K3";"Prisindeks for brukte boliger";20
"001 Oslo med Bærum";"02 Småhus";"1995K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1995K4";"Prisindeks for brukte boliger";20,4
"001 Oslo med Bærum";"02 Småhus";"1995K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1996K1";"Prisindeks for brukte boliger";20,8
"001 Oslo med Bærum";"02 Småhus";"1996K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1996K2";"Prisindeks for brukte boliger";22,3
"001 Oslo med Bærum";"02 Småhus";"1996K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1996K3";"Prisindeks for brukte boliger";22,8
"001 Oslo med Bærum";"02 Småhus";"1996K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1996K4";"Prisindeks for brukte boliger";23,4
"001 Oslo med Bærum";"02 Småhus";"1996K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1997K1";"Prisindeks for brukte boliger";24,5
"001 Oslo med Bærum";"02 Småhus";"1997K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1997K2";"Prisindeks for brukte boliger";26,3
"001 Oslo med Bærum";"02 Småhus";"1997K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1997K3";"Prisindeks for brukte boliger";26,2
"001 Oslo med Bærum";"02 Småhus";"1997K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1997K4";"Prisindeks for brukte boliger";26,8
"001 Oslo med Bærum";"02 Småhus";"1997K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1998K1";"Prisindeks for brukte boliger";30,3
"001 Oslo med Bærum";"02 Småhus";"1998K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1998K2";"Prisindeks for brukte boliger";30,8
"001 Oslo med Bærum";"02 Småhus";"1998K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1998K3";"Prisindeks for brukte boliger";29,8
"001 Oslo med Bærum";"02 Småhus";"1998K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1998K4";"Prisindeks for brukte boliger";29,2
"001 Oslo med Bærum";"02 Småhus";"1998K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1999K1";"Prisindeks for brukte boliger";31,1
"001 Oslo med Bærum";"02 Småhus";"1999K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1999K2";"Prisindeks for brukte boliger";34,4
"001 Oslo med Bærum";"02 Småhus";"1999K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1999K3";"Prisindeks for brukte boliger";34,1
"001 Oslo med Bærum";"02 Småhus";"1999K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"1999K4";"Prisindeks for brukte boliger";37
"001 Oslo med Bærum";"02 Småhus";"1999K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2000K1";"Prisindeks for brukte boliger";38,5
"001 Oslo med Bærum";"02 Småhus";"2000K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2000K2";"Prisindeks for brukte boliger";42,3
"001 Oslo med Bærum";"02 Småhus";"2000K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2000K3";"Prisindeks for brukte boliger";40,4
"001 Oslo med Bærum";"02 Småhus";"2000K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2000K4";"Prisindeks for brukte boliger";39,3
"001 Oslo med Bærum";"02 Småhus";"2000K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2001K1";"Prisindeks for brukte boliger";40,6
"001 Oslo med Bærum";"02 Småhus";"2001K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2001K2";"Prisindeks for brukte boliger";43,5
"001 Oslo med Bærum";"02 Småhus";"2001K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2001K3";"Prisindeks for brukte boliger";43,2
"001 Oslo med Bærum";"02 Småhus";"2001K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2001K4";"Prisindeks for brukte boliger";42,3
"001 Oslo med Bærum";"02 Småhus";"2001K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2002K1";"Prisindeks for brukte boliger";44,7
"001 Oslo med Bærum";"02 Småhus";"2002K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2002K2";"Prisindeks for brukte boliger";45,3
"001 Oslo med Bærum";"02 Småhus";"2002K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2002K3";"Prisindeks for brukte boliger";45,5
"001 Oslo med Bærum";"02 Småhus";"2002K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2002K4";"Prisindeks for brukte boliger";43,8
"001 Oslo med Bærum";"02 Småhus";"2002K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2003K1";"Prisindeks for brukte boliger";43,7
"001 Oslo med Bærum";"02 Småhus";"2003K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2003K2";"Prisindeks for brukte boliger";43,9
"001 Oslo med Bærum";"02 Småhus";"2003K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2003K3";"Prisindeks for brukte boliger";43,1
"001 Oslo med Bærum";"02 Småhus";"2003K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2003K4";"Prisindeks for brukte boliger";44,6
"001 Oslo med Bærum";"02 Småhus";"2003K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2004K1";"Prisindeks for brukte boliger";47,3
"001 Oslo med Bærum";"02 Småhus";"2004K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2004K2";"Prisindeks for brukte boliger";47,5
"001 Oslo med Bærum";"02 Småhus";"2004K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2004K3";"Prisindeks for brukte boliger";48,3
"001 Oslo med Bærum";"02 Småhus";"2004K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2004K4";"Prisindeks for brukte boliger";49,4
"001 Oslo med Bærum";"02 Småhus";"2004K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2005K1";"Prisindeks for brukte boliger";51,7
"001 Oslo med Bærum";"02 Småhus";"2005K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2005K2";"Prisindeks for brukte boliger";53,9
"001 Oslo med Bærum";"02 Småhus";"2005K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2005K3";"Prisindeks for brukte boliger";53,7
"001 Oslo med Bærum";"02 Småhus";"2005K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2005K4";"Prisindeks for brukte boliger";54,8
"001 Oslo med Bærum";"02 Småhus";"2005K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2006K1";"Prisindeks for brukte boliger";57,3
"001 Oslo med Bærum";"02 Småhus";"2006K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2006K2";"Prisindeks for brukte boliger";60,5
"001 Oslo med Bærum";"02 Småhus";"2006K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2006K3";"Prisindeks for brukte boliger";62,5
"001 Oslo med Bærum";"02 Småhus";"2006K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2006K4";"Prisindeks for brukte boliger";63,7
"001 Oslo med Bærum";"02 Småhus";"2006K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2007K1";"Prisindeks for brukte boliger";68,9
"001 Oslo med Bærum";"02 Småhus";"2007K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2007K2";"Prisindeks for brukte boliger";71,5
"001 Oslo med Bærum";"02 Småhus";"2007K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2007K3";"Prisindeks for brukte boliger";70,9
"001 Oslo med Bærum";"02 Småhus";"2007K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2007K4";"Prisindeks for brukte boliger";68,6
"001 Oslo med Bærum";"02 Småhus";"2007K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2008K1";"Prisindeks for brukte boliger";70,4
"001 Oslo med Bærum";"02 Småhus";"2008K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2008K2";"Prisindeks for brukte boliger";70,2
"001 Oslo med Bærum";"02 Småhus";"2008K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2008K3";"Prisindeks for brukte boliger";68,3
"001 Oslo med Bærum";"02 Småhus";"2008K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2008K4";"Prisindeks for brukte boliger";62,8
"001 Oslo med Bærum";"02 Småhus";"2008K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2009K1";"Prisindeks for brukte boliger";63,6
"001 Oslo med Bærum";"02 Småhus";"2009K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2009K2";"Prisindeks for brukte boliger";67,6
"001 Oslo med Bærum";"02 Småhus";"2009K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2009K3";"Prisindeks for brukte boliger";70,6
"001 Oslo med Bærum";"02 Småhus";"2009K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2009K4";"Prisindeks for brukte boliger";70,7
"001 Oslo med Bærum";"02 Småhus";"2009K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2010K1";"Prisindeks for brukte boliger";73,2
"001 Oslo med Bærum";"02 Småhus";"2010K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2010K2";"Prisindeks for brukte boliger";76
"001 Oslo med Bærum";"02 Småhus";"2010K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2010K3";"Prisindeks for brukte boliger";77
"001 Oslo med Bærum";"02 Småhus";"2010K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2010K4";"Prisindeks for brukte boliger";76,7
"001 Oslo med Bærum";"02 Småhus";"2010K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2011K1";"Prisindeks for brukte boliger";80,6
"001 Oslo med Bærum";"02 Småhus";"2011K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2011K2";"Prisindeks for brukte boliger";82,4
"001 Oslo med Bærum";"02 Småhus";"2011K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2011K3";"Prisindeks for brukte boliger";83,4
"001 Oslo med Bærum";"02 Småhus";"2011K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2011K4";"Prisindeks for brukte boliger";82,4
"001 Oslo med Bærum";"02 Småhus";"2011K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2012K1";"Prisindeks for brukte boliger";85,3
"001 Oslo med Bærum";"02 Småhus";"2012K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2012K2";"Prisindeks for brukte boliger";87,4
"001 Oslo med Bærum";"02 Småhus";"2012K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2012K3";"Prisindeks for brukte boliger";89,8
"001 Oslo med Bærum";"02 Småhus";"2012K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2012K4";"Prisindeks for brukte boliger";88,5
"001 Oslo med Bærum";"02 Småhus";"2012K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2013K1";"Prisindeks for brukte boliger";91,2
"001 Oslo med Bærum";"02 Småhus";"2013K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2013K2";"Prisindeks for brukte boliger";91,9
"001 Oslo med Bærum";"02 Småhus";"2013K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2013K3";"Prisindeks for brukte boliger";89,2
"001 Oslo med Bærum";"02 Småhus";"2013K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2013K4";"Prisindeks for brukte boliger";88,3
"001 Oslo med Bærum";"02 Småhus";"2013K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2014K1";"Prisindeks for brukte boliger";90,1
"001 Oslo med Bærum";"02 Småhus";"2014K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2014K2";"Prisindeks for brukte boliger";92,3
"001 Oslo med Bærum";"02 Småhus";"2014K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2014K3";"Prisindeks for brukte boliger";92,5
"001 Oslo med Bærum";"02 Småhus";"2014K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2014K4";"Prisindeks for brukte boliger";92,5
"001 Oslo med Bærum";"02 Småhus";"2014K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2015K1";"Prisindeks for brukte boliger";97,7
"001 Oslo med Bærum";"02 Småhus";"2015K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2015K2";"Prisindeks for brukte boliger";99,9
"001 Oslo med Bærum";"02 Småhus";"2015K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2015K3";"Prisindeks for brukte boliger";100,8
"001 Oslo med Bærum";"02 Småhus";"2015K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2015K4";"Prisindeks for brukte boliger";101,6
"001 Oslo med Bærum";"02 Småhus";"2015K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2016K1";"Prisindeks for brukte boliger";105,4
"001 Oslo med Bærum";"02 Småhus";"2016K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2016K2";"Prisindeks for brukte boliger";111,1
"001 Oslo med Bærum";"02 Småhus";"2016K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2016K3";"Prisindeks for brukte boliger";118,9
"001 Oslo med Bærum";"02 Småhus";"2016K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2016K4";"Prisindeks for brukte boliger";120
"001 Oslo med Bærum";"02 Småhus";"2016K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2017K1";"Prisindeks for brukte boliger";125,4
"001 Oslo med Bærum";"02 Småhus";"2017K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2017K2";"Prisindeks for brukte boliger";127,6
"001 Oslo med Bærum";"02 Småhus";"2017K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2017K3";"Prisindeks for brukte boliger";122,9
"001 Oslo med Bærum";"02 Småhus";"2017K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2017K4";"Prisindeks for brukte boliger";121,1
"001 Oslo med Bærum";"02 Småhus";"2017K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2018K1";"Prisindeks for brukte boliger";123,5
"001 Oslo med Bærum";"02 Småhus";"2018K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2018K2";"Prisindeks for brukte boliger";128,5
"001 Oslo med Bærum";"02 Småhus";"2018K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2018K3";"Prisindeks for brukte boliger";126,7
"001 Oslo med Bærum";"02 Småhus";"2018K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2018K4";"Prisindeks for brukte boliger";123,4
"001 Oslo med Bærum";"02 Småhus";"2018K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2019K1";"Prisindeks for brukte boliger";128,4
"001 Oslo med Bærum";"02 Småhus";"2019K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2019K2";"Prisindeks for brukte boliger";131,1
"001 Oslo med Bærum";"02 Småhus";"2019K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2019K3";"Prisindeks for brukte boliger";132,3
"001 Oslo med Bærum";"02 Småhus";"2019K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2019K4";"Prisindeks for brukte boliger";128,6
"001 Oslo med Bærum";"02 Småhus";"2019K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2020K1";"Prisindeks for brukte boliger";130,9
"001 Oslo med Bærum";"02 Småhus";"2020K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2020K2";"Prisindeks for brukte boliger";135,2
"001 Oslo med Bærum";"02 Småhus";"2020K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2020K3";"Prisindeks for brukte boliger";135,8
"001 Oslo med Bærum";"02 Småhus";"2020K3";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2020K4";"Prisindeks for brukte boliger";138,2
"001 Oslo med Bærum";"02 Småhus";"2020K4";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2021K1";"Prisindeks for brukte boliger";147,6
"001 Oslo med Bærum";"02 Småhus";"2021K1";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2021K2";"Prisindeks for brukte boliger";156,2
"001 Oslo med Bærum";"02 Småhus";"2021K2";"Prisindeks for brukte boliger, sesongjustert";..
"001 Oslo med Bærum";"02 Småhus";"2021K3";"Prisindeks for brukte boliger";154,9
"001 Oslo med Bærum";"02 Småhus";"2021K3";"Prisindeks for brukte boliger, sesongjustert";..
